"","price","date","sqm","postcode","property_type","new_build","estate_type","number","street","town","district","transaction_category","Adress","index","years","bedrooms","bathrooms","en_suite"
"1",249950,2011-08-15,67,"E1 1BW","flat","No","leasehold","21","ALBION YARD","LONDON","TOWER HAMLETS","A","21 ALBION YARD ","LONDON1",20,2,2,0
"2",485000,2012-07-23,70,"E1 1HE","flat","No","leasehold","15A","NEW ROAD","LONDON","TOWER HAMLETS","A","15A NEW ROAD ","LONDON2",23,2,3,1
"3",220000,2009-02-27,68,"E1 1LZ","flat","No","leasehold","BERNHARD BARON HOUSE, 71","HENRIQUES STREET","LONDON","TOWER HAMLETS","A","BERNHARD BARON HOUSE, 71 HENRIQUES STREET LONDON","LONDON3",35,2,2,1
"4",169000,2009-02-13,68,"E1 1LZ","flat","No","leasehold","BERNHARD BARON HOUSE, 71","HENRIQUES STREET","LONDON","TOWER HAMLETS","A","BERNHARD BARON HOUSE, 71 HENRIQUES STREET LONDON","LONDON3",35,2,2,1
"5",495000,2009-01-27,124,"E1 6BJ","flat","No","leasehold","157","COMMERCIAL STREET","LONDON","TOWER HAMLETS","A","157 COMMERCIAL STREET LONDON","LONDON4",58,4,2,1
"6",223000,2010-09-03,59,"E10 5JJ","terraced","No","freehold","1","CRESCENT ROAD","LONDON","WALTHAM FOREST","A","1 CRESCENT ROAD LEYTON","LONDON5",12,2,3,1
"7",372500,2016-03-31,74,"E10 5PZ","flat","No","leasehold","109B","WARREN ROAD","LONDON","WALTHAM FOREST","A","109B WARREN ROAD LEYTON","LONDON6",29,2,3,1
"8",250000,2013-10-24,31,"E10 6HB","flat","No","leasehold","88","COLCHESTER ROAD","LONDON","WALTHAM FOREST","A","88 COLCHESTER ROAD LEYTON","LONDON7",52,1,2,1
"9",480000,2015-10-09,155,"E10 6LD","terraced","No","freehold","41","BELGRAVE ROAD","LONDON","WALTHAM FOREST","A","41 BELGRAVE ROAD LEYTON","LONDON8",25,5,5,1
"10",210000,2013-02-04,69,"E10 6PB","flat","No","leasehold","124","ALBERT ROAD","LONDON","WALTHAM FOREST","A","124 ALBERT ROAD LEYTON","LONDON9",59,2,2,0
"11",190000,2013-08-07,29,"E10 6PB","flat","No","leasehold","160","ALBERT ROAD","LONDON","WALTHAM FOREST","A","160 ALBERT ROAD LEYTON","LONDON10",62,1,2,1
"12",180000,2012-03-23,12,"E10 7LY","flat","No","leasehold","2","SEYMOUR ROAD","LONDON","WALTHAM FOREST","A","2 SEYMOUR ROAD LEYTON","LONDON11",46,1,1,0
"13",481100,2016-02-03,75,"E11 1AU","flat","No","leasehold","49","KINGS ROAD","LONDON","WALTHAM FOREST","A","49 KINGS ROAD LEYTONSTONE","LONDON12",40,2,2,0
"14",220000,2009-12-21,75,"E11 1AU","flat","No","leasehold","49","KINGS ROAD","LONDON","WALTHAM FOREST","A","49 KINGS ROAD LEYTONSTONE","LONDON12",34,2,2,0
"15",130000,2012-09-28,8,"E11 1EF","flat","No","leasehold","55A","BULWER COURT ROAD","LONDON","WALTHAM FOREST","A","55A BULWER COURT ROAD ","LONDON13",43,1,1,0
"16",268000,2013-01-18,82,"E11 1JS","semi-detached","No","freehold","105A","FOREST ROAD","LONDON","WALTHAM FOREST","A","105A FOREST ROAD LEYTONSTONE","LONDON14",59,2,3,0
"17",275000,2015-12-23,16,"E11 2AP","flat","No","leasehold","26","HERMON HILL","LONDON","REDBRIDGE","A","26 HERMON HILL ","LONDON15",13,1,2,1
"18",279995,2013-02-22,68,"E11 2EW","flat","No","leasehold","23","GROSVENOR ROAD","LONDON","REDBRIDGE","A","23 GROSVENOR ROAD WANSTEAD","LONDON16",41,2,3,1
"19",210000,2009-12-07,31,"E11 2HQ","flat","No","leasehold","CEDAR COURT","GROSVENOR ROAD","LONDON","REDBRIDGE","A","CEDAR COURT GROSVENOR ROAD WANSTEAD","LONDON17",50,1,1,0
"20",540000,2009-06-18,133,"E11 2LX","semi-detached","No","freehold","29","WARREN ROAD","LONDON","REDBRIDGE","A","29 WARREN ROAD WANSTEAD","LONDON18",60,4,1,0
"21",675500,2013-12-12,133,"E11 2NA","terraced","No","freehold","42","WARREN ROAD","LONDON","REDBRIDGE","A","42 WARREN ROAD WANSTEAD","LONDON19",114,4,5,1
"22",174000,2009-02-05,7,"E11 2QF","flat","No","leasehold","HUNTINGDON HOUSE, 4","SELSDON ROAD","LONDON","REDBRIDGE","A","HUNTINGDON HOUSE, 4 SELSDON ROAD LONDON","LONDON20",21,1,2,1
"23",152000,2012-03-16,24,"E11 4PU","flat","No","leasehold","30A","PARK GROVE ROAD","LONDON","WALTHAM FOREST","A","30A PARK GROVE ROAD ","LONDON21",34,1,1,0
"24",490000,2009-12-16,134,"E11 4QX","semi-detached","No","freehold","37","HAROLD ROAD","LONDON","WALTHAM FOREST","A","37 HAROLD ROAD LEYTONSTONE","LONDON22",32,4,3,1
"25",125000,2009-02-16,19,"E11 4RQ","terraced","No","leasehold","60A","GRANLEIGH ROAD","LONDON","WALTHAM FOREST","A","60A GRANLEIGH ROAD LONDON","LONDON23",48,1,1,0
"26",134000,2009-01-26,70,"E12 6HT","flat","No","leasehold","351","CHURCH ROAD","LONDON","NEWHAM","A","351 CHURCH ROAD LONDON","LONDON24",50,2,3,1
"27",250000,2008-06-11,20,"E12 6HW","terraced","No","freehold","268","DERSINGHAM AVENUE","LONDON","NEWHAM","A","268 DERSINGHAM AVENUE LONDON","LONDON25",22,1,2,1
"28",212500,2015-09-25,5,"E13 0AD","flat","No","leasehold","23B","HIGH STREET","LONDON","NEWHAM","A","23B HIGH STREET PLAISTOW","LONDON26",39,1,0,0
"29",175000,2009-02-03,30,"E13 0BG","flat","No","leasehold","5","GREENGATE STREET","LONDON","NEWHAM","A","5 GREENGATE STREET LONDON","LONDON27",39,1,1,0
"30",160000,2013-04-02,58,"E13 0HF","flat","No","leasehold","275A","GRANGE ROAD","LONDON","NEWHAM","A","275A GRANGE ROAD ","LONDON28",44,2,2,1
"31",192500,2013-04-02,58,"E13 0HF","flat","No","leasehold","275A","GRANGE ROAD","LONDON","NEWHAM","A","275A GRANGE ROAD ","LONDON28",44,2,2,1
"32",321000,2015-11-02,99,"E13 0PF","terraced","No","freehold","24","QUEENS ROAD WEST","LONDON","NEWHAM","A","24 QUEENS ROAD WEST PLAISTOW","LONDON29",132,2,2,1
"33",70000,2013-06-06,57,"E13 8EE","flat","No","leasehold","315","BARKING ROAD","LONDON","NEWHAM","A","315 BARKING ROAD PLAISTOW","LONDON30",63,2,3,1
"34",120000,2009-10-29,57,"E13 8EE","flat","No","leasehold","315","BARKING ROAD","LONDON","NEWHAM","A","315 BARKING ROAD PLAISTOW","LONDON30",59,2,3,1
"35",830000,2009-10-29,57,"E13 8EE","flat","No","leasehold","315","BARKING ROAD","LONDON","NEWHAM","A","315 BARKING ROAD PLAISTOW","LONDON30",59,2,3,1
"36",98750,2013-12-03,57,"E13 8EE","flat","No","leasehold","315","BARKING ROAD","LONDON","NEWHAM","A","315 BARKING ROAD PLAISTOW","LONDON30",63,2,3,1
"37",435000,2016-01-19,59,"E13 8HJ","terraced","No","freehold","412A","BARKING ROAD","LONDON","NEWHAM","A","412A BARKING ROAD PLAISTOW","LONDON31",21,3,2,1
"38",240000,2009-01-15,61,"E14 3GG","flat","No","leasehold","LYMINGTON LODGE, 47","SCHOONER CLOSE","LONDON","TOWER HAMLETS","A","LYMINGTON LODGE, 47 SCHOONER CLOSE LONDON","LONDON32",67,2,2,0
"39",269000,2012-05-31,44,"E14 3SP","flat","No","leasehold","GALAXY BUILDING, 5","CREWS STREET","LONDON","TOWER HAMLETS","A","GALAXY BUILDING, 5 CREWS STREET ","LONDON33",35,2,3,1
"40",300000,2013-11-11,44,"E14 3SP","flat","No","leasehold","GALAXY BUILDING, 5","CREWS STREET","LONDON","TOWER HAMLETS","A","GALAXY BUILDING, 5 CREWS STREET ","LONDON33",36,2,3,1
"41",550000,2012-02-20,133,"E14 3WA","flat","No","leasehold","10","ST DAVIDS SQUARE","LONDON","TOWER HAMLETS","A","10 ST DAVIDS SQUARE ","LONDON34",53,4,3,1
"42",790400,2011-10-31,98,"E14 4EG","flat","No","leasehold","26","HERTSMERE ROAD","LONDON","TOWER HAMLETS","A","26 HERTSMERE ROAD ","LONDON35",54,3,3,1
"43",412000,2013-06-28,98,"E14 4EG","flat","No","leasehold","26","HERTSMERE ROAD","LONDON","TOWER HAMLETS","A","26 HERTSMERE ROAD ","LONDON35",55,3,3,1
"44",400000,2010-08-06,98,"E14 4EG","flat","No","leasehold","26","HERTSMERE ROAD","LONDON","TOWER HAMLETS","A","26 HERTSMERE ROAD ","LONDON35",52,3,3,1
"45",690000,2013-05-16,98,"E14 4EG","flat","No","leasehold","26","HERTSMERE ROAD","LONDON","TOWER HAMLETS","A","26 HERTSMERE ROAD ","LONDON35",55,3,3,1
"46",445000,2007-12-20,86,"E14 7NN","terraced","No","freehold","28","MATLOCK STREET","LONDON","TOWER HAMLETS","A","28 MATLOCK STREET LONDON","LONDON36",61,2,3,1
"47",435000,2013-12-20,59,"E14 8HH","flat","No","leasehold","31","THREE COLT STREET","LONDON","TOWER HAMLETS","A","31 THREE COLT STREET ","LONDON37",84,2,2,0
"48",460000,2008-02-06,136,"E14 8JW","flat","No","leasehold","CASCADES TOWER, 4","WESTFERRY ROAD","LONDON","TOWER HAMLETS","A","CASCADES TOWER, 4 WESTFERRY ROAD LONDON","LONDON38",51,5,3,1
